name	x	y	z	type
S1	-0.041613204679326624	0.026799775287857947	0.1299043936308115	source
S2	-0.06476686499872276	0.058142569989960625	0.0908425773727145	source
S3	-0.07120554551675068	-0.012874272652217852	0.10787860947691345	source
S4	-0.0859043654400404	0.01897169846889112	0.06509762433137256	source
S5	0.03694171596700852	0.02748380530252158	0.13022129709104263	source
S6	0.06065133742692848	0.058824145891975134	0.09117717995727878	source
S7	0.06712771392323756	-0.012199231886346206	0.1085725493643022	source
S8	0.08188685574250908	0.02042793216235211	0.06571325110115192	source
D1	-0.037619588707178915	0.06322851630256272	0.11572802770110814	detector
D2	-0.04134445059646741	-0.011779611291995045	0.13495002938154654	detector
D3	-0.07242424650162711	0.023472932063811163	0.10322218957482163	detector
D4	-0.07912592748234686	0.05140929117919257	0.057370046083468226	detector
D5	0.03352717285472944	0.0635996834121202	0.11583881331702946	detector
D6	0.03686639505686032	-0.011397164907962856	0.13536724076864518	detector
D7	0.06791592703520163	0.02468254467119271	0.10366605207860985	detector
D8	0.075310088095807	0.05226884499005336	0.05787698428594235	detector
D9	-0.03773895423262196	0.034082658086024245	0.12949197908184026	detector
D10	-0.061454307897075164	0.06443800208211416	0.09061004226260877	detector
D11	-0.07282878975853647	-0.005278705279921133	0.10743054838539287	detector
D12	-0.08439610638498087	0.02706123378098264	0.06559510739262155	detector
D13	0.040013338219712126	0.020439745814301982	0.13063767506528579	detector
D14	0.06428020193514211	0.05162125732852231	0.09133632943784001	detector
D15	0.06521393141744246	-0.019260368037897508	0.10880928230870081	detector
D16	0.08272091030272573	0.012990608473329186	0.06658402323335233	detector